"date","time","visitor","visitor_pts","home","home_pts","season","date2","home_location","visitor_location"
"Wed, Mar 23, 2016","10:00 pm","Dallas Mavericks","103","Portland Trail Blazers","109",2016,2016-03-23,"Portland","Dallas"
"Tue, Dec 22, 2015","7:00 pm","Memphis Grizzlies","104","Philadelphia 76ers","90",2016,2015-12-22,"Philadelphia","Memphis"
"Thu, Dec 10, 2015","8:00 pm","Atlanta Hawks","94","Oklahoma City Thunder","107",2016,2015-12-10,"Oklahoma City","Atlanta"
"Sun, Apr 3, 2016","8:00 pm","Portland Trail Blazers","111","Golden State Warriors","136",2016,2016-04-03,"San Francisco","Portland Trail"
"Wed, Mar 23, 2016","9:00 pm","Philadelphia 76ers","103","Denver Nuggets","104",2016,2016-03-23,"Denver","Philadelphia"
"Mon, Jan 4, 2016","10:30 pm","Charlotte Hornets","101","Golden State Warriors","111",2016,2016-01-04,"San Francisco","Charlotte"
"Fri, Jan 29, 2016","10:00 pm","Charlotte Hornets","91","Portland Trail Blazers","109",2016,2016-01-29,"Portland","Charlotte"
"Sat, Mar 12, 2016","9:30 pm","Washington Wizards","100","Denver Nuggets","116",2016,2016-03-12,"Denver","Washington"
"Wed, Apr 6, 2016","7:00 pm","Cleveland Cavaliers","109","Indiana Pacers","123",2016,2016-04-06,"Indianapolis","Cleveland"
"Sun, Mar 27, 2016","9:30 pm","Washington Wizards","101","Los Angeles Lakers","88",2016,2016-03-27,"Los Angeles","Washington"
"Thu, Mar 17, 2016","8:00 pm","Memphis Grizzlies","86","Milwaukee Bucks","96",2016,2016-03-17,"Milwaukee","Memphis"
"Sun, Jan 31, 2016","9:00 pm","Minnesota Timberwolves","93","Portland Trail Blazers","96",2016,2016-01-31,"Portland","Minnesota"
"Sat, Mar 12, 2016","8:30 pm","Oklahoma City Thunder","85","San Antonio Spurs","93",2016,2016-03-12,"San Antonio","Oklahoma City"
"Fri, Nov 6, 2015","8:00 pm","Atlanta Hawks","121","New Orleans Pelicans","115",2016,2015-11-06,"New Orleans","Atlanta"
"Thu, Jan 14, 2016","10:30 pm","Los Angeles Lakers","98","Golden State Warriors","116",2016,2016-01-14,"San Francisco","Los Angeles"
"Mon, Nov 30, 2015","10:00 pm","Dallas Mavericks","98","Sacramento Kings","112",2016,2015-11-30,"Sacramento","Dallas"
"Thu, Nov 12, 2015","10:30 pm","Los Angeles Clippers","104","Phoenix Suns","118",2016,2015-11-12,"Phoenix","Los Angeles"
"Wed, Dec 2, 2015","8:30 pm","Milwaukee Bucks","70","San Antonio Spurs","95",2016,2015-12-02,"San Antonio","Milwaukee"
"Thu, Apr 7, 2016","8:00 pm","Chicago Bulls","98","Miami Heat","106",2016,2016-04-07,"Miami","Chicago"
"Thu, Apr 7, 2016","10:00 pm","Minnesota Timberwolves","105","Sacramento Kings","97",2016,2016-04-07,"Sacramento","Minnesota"
"Tue, Dec 29, 2015","8:00 pm","Atlanta Hawks","121","Houston Rockets","115",2016,2015-12-29,"Houston","Atlanta"
"Tue, Jan 12, 2016","8:30 pm","Cleveland Cavaliers","110","Dallas Mavericks","107",2016,2016-01-12,"Dallas","Cleveland"
"Sat, Nov 7, 2015","7:30 pm","Washington Wizards","99","Atlanta Hawks","114",2016,2015-11-07,"Atlanta","Washington"
"Sat, Mar 19, 2016","8:00 pm","Los Angeles Clippers","102","Memphis Grizzlies","113",2016,2016-03-19,"Memphis","Los Angeles"
"Mon, Mar 7, 2016","8:30 pm","Los Angeles Clippers","109","Dallas Mavericks","90",2016,2016-03-07,"Dallas","Los Angeles"
"Fri, Mar 4, 2016","7:30 pm","New York Knicks","104","Boston Celtics","105",2016,2016-03-04,"Boston","New York"
"Sat, Nov 28, 2015","10:30 pm","Sacramento Kings","101","Golden State Warriors","120",2016,2015-11-28,"San Francisco","Sacramento"
"Mon, Apr 11, 2016","10:00 pm","Sacramento Kings","105","Phoenix Suns","101",2016,2016-04-11,"Phoenix","Sacramento"
"Fri, Feb 5, 2016","9:00 pm","Milwaukee Bucks","81","Utah Jazz","84",2016,2016-02-05,"Salt Lake City","Milwaukee"
"Wed, Apr 13, 2016","8:00 pm","Sacramento Kings","81","Houston Rockets","116",2016,2016-04-13,"Houston","Sacramento"
"Thu, Nov 5, 2015","8:30 pm","Charlotte Hornets","108","Dallas Mavericks","94",2016,2015-11-05,"Dallas","Charlotte"
"Wed, Nov 25, 2015","8:00 pm","Sacramento Kings","129","Milwaukee Bucks","118",2016,2015-11-25,"Milwaukee","Sacramento"
"Thu, Mar 10, 2016","10:30 pm","Cleveland Cavaliers","120","Los Angeles Lakers","108",2016,2016-03-10,"Los Angeles","Cleveland"
"Fri, Nov 27, 2015","10:00 pm","Minnesota Timberwolves","101","Sacramento Kings","91",2016,2015-11-27,"Sacramento","Minnesota"
"Fri, Dec 25, 2015","2:30 pm","Chicago Bulls","105","Oklahoma City Thunder","96",2016,2015-12-25,"Oklahoma City","Chicago"
"Thu, Feb 18, 2016","10:30 pm","San Antonio Spurs","86","Los Angeles Clippers","105",2016,2016-02-18,"Los Angeles","San Antonio"
"Wed, Mar 2, 2016","9:00 pm","Los Angeles Lakers","107","Denver Nuggets","117",2016,2016-03-02,"Denver","Los Angeles"
"Tue, Nov 3, 2015","8:00 pm","Orlando Magic","103","New Orleans Pelicans","94",2016,2015-11-03,"New Orleans","Orlando"
"Wed, Dec 16, 2015","8:00 pm","Philadelphia 76ers","106","Atlanta Hawks","127",2016,2015-12-16,"Atlanta","Philadelphia"
"Tue, Mar 15, 2016","7:00 pm","Boston Celtics","98","Indiana Pacers","103",2016,2016-03-15,"Indianapolis","Boston"
